1647313508.000000, 1647313508.000000, 1647313508.000000
32.000000, 32.000000, 32.000000
-62,15,8
-62,15,8
-63,15,9
-63,15,8
-63,15,8
-63,15,9
-63,15,8
-63,15,8
-63,15,8
-63,15,9
-62,15,8
-62,16,9
-63,15,8
-63,15,8
-63,15,9
-63,15,8
-63,14,8
-63,14,8
-63,14,9
-63,14,8
-63,15,8
-63,15,8
-62,15,8
-62,15,8
-63,15,8
-63,15,8
-63,14,8
-63,14,7
-63,15,8
-63,15,7
-62,14,7
-62,14,7
-63,14,7
-63,15,7
-64,15,7
-63,15,6
-63,15,6
-64,15,6
-65,15,6
-66,15,6
-68,16,6
-71,17,8
-69,14,11
-70,11,12
-69,10,6
-60,10,14
-65,10,15
-62,9,13
-70,9,20
-61,6,18
-37,7,8
-66,9,9
-55,3,13
-57,4,16
-67,6,17
-65,5,14
-62,5,10
-66,7,12
-62,5,24
-60,6,17
-54,6,29
-56,4,26
-52,3,25
-60,6,38
-58,1,28
-60,7,30
-60,5,26
-60,3,10
-62,6,13
-63,5,14
-64,6,13
-65,4,15
-67,-2,13
-68,-1,13
-67,1,14
-67,2,16
-63,4,15
-62,4,17
-60,3,15
-60,4,14
-61,4,18
-62,3,17
-62,2,15
-62,3,15
-63,2,13
-62,2,12
-64,2,11
-64,3,14
-63,2,10
-65,2,13
-65,0,10
-65,0,12
-65,0,14
-65,-1,12
-63,1,13
-61,1,14
-61,1,13
-61,0,13
-62,1,15
-62,1,16
-64,1,18
-63,1,18
-63,1,17
-62,1,17
-62,2,17
-62,1,17
-62,1,17
-63,1,16
-63,1,16
-63,1,16
-63,1,17
-63,1,17
-63,1,16
-63,1,16
-63,1,15
-63,1,16
-63,1,16
-63,1,16
-63,1,16
-63,1,16
-63,1,17
-63,1,16
-63,1,18
-62,1,18
-62,1,18
-63,2,17
-63,1,16
-62,1,17
-62,1,17
-62,1,17
-63,1,17
-63,1,17
-62,1,17
-63,1,17
-62,2,17
-63,1,17
-62,1,18
-62,1,17
-63,1,17
-63,1,16
-63,1,17
-63,1,17
-63,1,17
-63,1,17
-63,1,17
-62,1,17
-63,0,17
-62,0,17
-62,0,17
-62,1,17
-62,1,18
-62,1,18
-62,1,18
-63,1,17
-63,1,17
-63,1,17
-63,1,17
-63,1,17
-62,1,17
-62,1,17
-62,1,18
-62,1,18
