1649980636.000000, 1649980636.000000, 1649980636.000000
32.000000, 32.000000, 32.000000
-51,-2,-14
-51,-6,-15
-51,-8,-16
-54,-10,-19
-57,-9,-19
-57,-9,-19
-59,-13,-19
-63,-13,-22
-66,-12,-27
-65,-11,-25
-69,-20,-24
-74,-21,-31
-78,-6,-35
-62,-2,-22
-49,-14,-16
-59,-17,-29
-58,-14,-31
-57,-7,-27
-56,-3,-22
-48,-3,-20
-48,-5,-24
-54,-6,-26
-51,-6,-23
-48,-9,-19
-50,-9,-18
-54,-12,-18
-57,-14,-24
-62,-11,-24
-66,-10,-22
-69,-9,-29
-78,0,-33
-75,2,-25
-65,-1,-15
-68,1,-19
-76,4,-32
-70,3,-30
-59,-3,-20
-54,-7,-18
-55,-10,-20
-51,-13,-17
-50,-16,-16
-50,-15,-16
-51,-13,-17
-48,-17,-17
-50,-18,-18
-65,-13,-28
-66,-10,-28
-68,-14,-31
-88,-3,-40
-77,1,-31
-62,-9,-28
-70,-9,-35
-67,-5,-37
-65,-3,-32
-55,1,-20
-52,-1,-18
-47,-2,-21
-47,-2,-22
-49,-1,-18
-44,-3,-15
-44,-2,-17
-50,-2,-19
-54,-2,-19
-61,-2,-23
-67,1,-26
-78,5,-29
-85,5,-30
-85,10,-27
-79,11,-24
-75,14,-23
-68,9,-21
-62,5,-20
-53,-1,-19
-47,-3,-17
-47,-9,-18
-48,-11,-22
-45,-13,-24
-46,-13,-24
-49,-14,-27
-46,-15,-28
-50,-17,-36
-57,-13,-35
-54,-14,-32
-61,-19,-41
-75,-11,-49
-74,-4,-47
-72,-3,-45
-73,10,-46
-68,12,-42
-63,12,-29
-58,12,-26
-53,12,-27
-47,9,-23
-43,8,-21
-43,5,-25
-43,3,-26
-45,0,-21
-48,-4,-26
-57,-6,-36
-62,-5,-30
-63,-11,-24
-64,-15,-27
-75,-22,-40
-88,-20,-31
-83,-23,-26
-77,-32,-28
-75,-33,-26
-62,-33,-18
-60,-31,-16
-55,-27,-13
-47,-23,-15
-35,-8,-24
-38,-2,-22
-39,5,-26
-47,14,-43
-45,13,-35
-35,8,-22
-38,4,-26
-43,-9,-30
-47,-12,-25
-51,-12,-20
-54,-17,-25
-64,-15,-29
-62,-12,-20
-66,-17,-22
-85,-4,-39
-92,5,-38
-87,15,-30
-81,18,-28
-72,11,-25
-70,11,-26
-63,7,-23
-59,6,-21
-50,4,-19
-49,3,-22
-55,4,-27
-58,9,-30
-62,11,-30
-63,14,-26
-66,13,-30
-70,18,-31
-64,15,-22
-60,10,-15
-61,9,-20
-66,8,-31
-60,4,-23
-59,2,-19
-54,-1,-18
-54,-3,-17
-52,-7,-14
-50,-7,-13
-51,-7,-14
-53,-8,-16
-54,-10,-20
-56,-9,-20
-63,-3,-25
-61,-7,-29
-63,-12,-30
-73,-6,-44
-66,1,-39
-55,-6,-34
-57,-9,-41
-66,3,-57
-68,13,-53
-58,17,-35
-52,15,-33
-51,11,-30
-49,10,-25
-47,9,-22
-43,9,-21
-43,9,-16
-49,10,-21
-51,9,-26
-54,10,-24
-63,9,-27
-79,11,-35
-92,13,-33
-98,7,-22
-104,9,-24
-102,14,-32
-85,23,-25
-82,21,-28
-68,12,-29
-61,7,-28
-46,5,-21
-43,5,-25
-37,3,-23
-32,0,-19
-32,-5,-22
-24,-16,-25
-18,-18,-16
-20,-28,9
-31,-37,7
-29,-49,-43
-78,-47,-70
-123,-43,-27
-108,-39,-18
-119,-38,-35
-101,-31,-16
-59,-20,10
-39,-16,21
-36,-10,23
-33,-4,13
-32,-2,10
