1649775135.000000, 1649775135.000000, 1649775135.000000
32.000000, 32.000000, 32.000000
-42,-31,44
-39,-22,44
-39,-21,45
-33,-14,42
-31,-7,35
-34,-8,34
-31,-7,40
-31,-11,46
-31,-10,40
-37,-5,29
-52,-7,17
-62,-14,15
-47,-19,24
-42,-25,24
-23,-30,30
-23,-24,47
-33,-36,57
-40,-47,81
-41,-38,62
-47,-37,30
-44,-30,25
-19,-34,32
-20,-40,34
-58,-63,28
-70,-61,13
-66,-56,2
-56,-40,4
-67,-36,0
-58,-31,6
-53,-35,8
-49,-39,13
-45,-40,18
-45,-45,28
-45,-39,37
-43,-29,36
-44,-25,20
-50,-24,6
-47,-20,2
-48,-24,6
-53,-39,36
-52,-36,43
-43,-40,41
-62,-41,41
-50,-33,31
-50,-33,14
-59,-36,-2
-53,-36,-1
-30,-48,28
-38,-37,21
-62,-35,-7
-72,-35,2
-54,-21,13
-49,-13,1
-39,-27,13
26,-48,70
0,-50,59
-58,-34,22
-45,-26,26
-45,-19,9
-80,-24,-9
-85,-26,-13
-105,-27,-34
-42,-16,-16
5,-33,10
44,-44,53
29,-45,79
-15,-27,54
-62,-16,-1
-72,-9,-15
-128,-34,-76
-48,-17,-31
-28,-31,-1
52,-35,67
32,-44,70
-28,-19,41
-57,-16,26
-88,-18,3
-71,-17,6
-37,-22,32
-34,-22,38
-35,-22,43
-42,-20,38
-51,-18,31
-48,-19,27
-37,-20,31
-31,-36,46
-37,-41,51
-32,-44,53
-40,-46,42
-40,-54,33
-40,-43,32
-36,-34,36
-48,-33,28
-52,-34,25
-49,-34,27
-48,-34,30
-44,-35,33
-42,-35,34
-42,-34,30
-43,-33,29
-45,-32,28
-49,-31,26
-50,-30,24
-49,-30,23
-49,-31,22
-49,-33,21
-50,-34,21
-52,-35,20
-54,-35,19
-59,-36,13
-47,-35,22
-45,-38,27
-49,-39,25
-45,-40,27
-38,-39,32
-37,-40,32
-38,-42,32
-39,-42,32
-37,-42,32
-36,-42,32
-38,-42,31
-36,-41,32
-39,-41,31
-42,-40,27
-40,-39,29
-39,-40,31
-40,-40,30
-41,-40,29
-40,-40,29
-39,-40,29
-39,-40,30
-41,-41,29
-42,-40,29
-42,-40,27
-40,-40,26
-41,-40,25
-42,-41,28
-43,-42,27
-37,-42,27
-35,-42,28
-34,-44,29
-35,-45,27
-37,-44,26
-37,-43,26
-37,-42,26
-32,-41,19
-35,-40,17
-42,-41,13
-40,-43,13
-42,-46,11
-33,-44,16
-37,-39,9
9,-42,20
-1,-66,3
-120,-64,102
-92,-97,-24
33,-50,0
25,-46,25
25,-57,49
5,-41,46
-6,-44,33
-23,-51,32
-30,-61,22
-26,-61,18
-17,-61,20
-15,-59,22
-10,-55,27
-12,-54,30
-13,-58,31
-24,-64,31
-14,-67,35
-2,-77,30
3,-75,23
-19,-66,18
-45,-56,8
-68,-43,2
-68,-41,3
-43,-42,17
-50,-29,17
-52,-22,13
-67,-19,-5
-67,-18,-7
-57,-12,-2
-50,-12,2
-48,-10,2
-54,-9,-1
-54,-12,0
-51,-11,1
-57,-14,1
-56,-14,0
-54,-14,1
-60,-15,3
-64,-15,2
-63,-13,6
-66,-11,7
-68,-8,7
-66,-9,3
-64,-8,6
-65,-8,3
-65,-7,3
-65,-7,2
-63,-8,3
-63,-7,1
-65,-8,1
-64,-8,3
-65,-8,2
-66,-8,-1
-65,-7,-1
-63,-7,1
-64,-8,0
-63,-8,1
-64,-8,-1
-63,-7,0
-63,-8,-1
-64,-7,-2
-64,-7,-2
-64,-7,-2
-65,-7,-3
-65,-7,-4
-65,-7,-4
-65,-7,-3
-65,-7,-3
-66,-7,-3
-66,-7,-3
-65,-7,-3
-65,-7,-3
-63,-7,-2
-63,-7,-1
-63,-6,-2
-65,-6,-2
-66,-5,-3
-65,-5,-2
-65,-6,-3
-66,-7,-3
-64,-7,-3
-62,-7,-3
-63,-7,-4
-63,-7,-3
-63,-8,-2
-63,-7,-2
-64,-7,-2
-66,-7,-2
-66,-6,-2
-66,-6,-1
-66,-6,0
-66,-6,0
-66,-5,-1
-66,-5,-2
-65,-5,-1
